season,Player,Nation,Pos,Age,90s,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,xG,npxG,xA,xG_90,xA_90,xG+xA_90,npxG_90,DB_clusters
2020,Thiago Alcántara,es ESP,MF,29,20.6,1.0,0.0,1.0,0.0,4.0,0.0,0.05,0.0,0.05,0.05,1.4,1.4,2.3,0.07,0.11,0.18,0.07,0
2020,Jordan Henderson,eng ENG,MF,30,18.9,1.0,1.0,1.0,0.0,0.0,0.0,0.05,0.05,0.11,0.05,1.7,1.7,1.4,0.09,0.07,0.16,0.09,0
2020,Nathaniel Phillips,eng ENG,DF,23,16.2,1.0,1.0,1.0,0.0,2.0,0.0,0.06,0.06,0.12,0.06,1.1,1.1,0.4,0.07,0.02,0.09,0.07,0
2020,Curtis Jones,eng ENG,MF,19,13.1,1.0,2.0,1.0,0.0,2.0,0.0,0.08,0.15,0.23,0.08,1.4,1.4,1.6,0.11,0.12,0.23,0.11,0
2020,Diogo Jota,pt POR,FW,23,12.4,9.0,0.0,9.0,0.0,2.0,0.0,0.73,0.0,0.73,0.73,6.6,6.6,1.6,0.53,0.13,0.66,0.53,0
2020,James Milner,eng ENG,MF,34,11.9,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.08,0.08,0.0,0.4,0.4,1.2,0.04,0.1,0.14,0.04,0
2020,Ozan Kabak,tr TUR,DF,20,8.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0
2020,Joël Matip,cm CMR,DF,28,7.7,1.0,2.0,1.0,0.0,2.0,0.0,0.13,0.26,0.39,0.13,0.6,0.6,1.0,0.08,0.14,0.22,0.08,0
2020,Rhys Williams,eng ENG,DF,19,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.07,0.05,0.13,0.07,0
2020,Naby Keïta,gn GUI,MF,25,5.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.8,0.09,0.14,0.23,0.09,0
2020,Joe Gomez,eng ENG,DF,23,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,Xherdan Shaqiri,ch SUI,MF,28,6.2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.32,0.32,0.0,0.4,0.4,3.0,0.06,0.49,0.55,0.06,0
2020,Virgil van Dijk,nl NED,DF,29,4.1,1.0,0.0,1.0,0.0,1.0,0.0,0.24,0.0,0.24,0.24,0.3,0.3,0.0,0.08,0.0,0.08,0.08,0
2020,Adrián,es ESP,GK,33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,Neco Williams,wls WAL,DF,19,2.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.03,0.1,0.13,0.03,0
2020,Takumi Minamino,jp JPN,FW,25,3.3,1.0,0.0,1.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.7,0.7,0.0,0.2,0.0,0.2,0.2,0
2020,Alex Oxlade-Chamberlain,eng ENG,MF,26,2.8,1.0,1.0,1.0,0.0,0.0,0.0,0.36,0.36,0.71,0.36,0.4,0.4,0.2,0.13,0.08,0.21,0.13,0
2020,Divock Origi,be BEL,FW,25,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.47,0.11,0.58,0.47,0
2020,Caoimhín Kelleher,ie IRL,GK,21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,Kostas Tsimikas,gr GRE,DF,24,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021,Alisson,br BRA,GK,28,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.4,0.0,0.01,0.01,0.0,0
2021,Virgil van Dijk,nl NED,DF,30,34.0,3.0,1.0,3.0,0.0,3.0,0.0,0.09,0.03,0.12,0.09,2.4,2.4,0.4,0.07,0.01,0.08,0.07,0
2021,Trent Alexander-Arnold,eng ENG,DF,22,31.7,2.0,12.0,2.0,0.0,2.0,0.0,0.06,0.38,0.44,0.06,2.7,2.7,11.2,0.08,0.35,0.44,0.08,0
2021,Sadio Mané,sn SEN,FW,29,31.3,16.0,2.0,16.0,0.0,5.0,0.0,0.51,0.06,0.57,0.51,16.7,16.7,4.4,0.53,0.14,0.67,0.53,1
2021,Joël Matip,cm CMR,DF,29,31.0,3.0,3.0,3.0,0.0,2.0,0.0,0.1,0.1,0.19,0.1,3.1,3.1,1.2,0.1,0.04,0.14,0.1,0
2021,Mohamed Salah,eg EGY,FW,29,30.7,23.0,13.0,18.0,5.0,1.0,0.0,0.75,0.42,1.17,0.59,21.8,17.0,10.4,0.71,0.34,1.05,0.55,-1
2021,Jordan Henderson,eng ENG,MF,31,28.9,2.0,5.0,2.0,0.0,3.0,0.0,0.07,0.17,0.24,0.07,1.5,1.5,3.8,0.05,0.13,0.18,0.05,0
2021,Andrew Robertson,sct SCO,DF,27,28.2,3.0,10.0,3.0,0.0,5.0,1.0,0.11,0.35,0.46,0.11,1.9,1.9,5.2,0.07,0.18,0.25,0.07,-1
2021,Diogo Jota,pt POR,FW,24,26.3,15.0,4.0,15.0,0.0,3.0,0.0,0.57,0.15,0.72,0.57,16.1,16.1,5.5,0.61,0.21,0.82,0.61,1
2021,Fabinho,br BRA,MF,27,25.7,5.0,1.0,3.0,2.0,7.0,0.0,0.19,0.04,0.23,0.12,3.4,1.9,1.4,0.13,0.05,0.19,0.07,-1
2021,Thiago Alcántara,es ESP,MF,30,17.0,1.0,4.0,1.0,0.0,2.0,0.0,0.06,0.23,0.29,0.06,1.8,1.8,2.3,0.11,0.14,0.25,0.11,0
2021,Naby Keïta,gn GUI,MF,26,13.0,3.0,1.0,3.0,0.0,3.0,0.0,0.23,0.08,0.31,0.23,2.3,2.3,1.6,0.18,0.12,0.3,0.18,0
2021,Ibrahima Konaté,fr FRA,DF,22,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.02,0.01,0.03,0.02,0
2021,Luis Díaz,co COL,FW,24,10.6,4.0,3.0,4.0,0.0,0.0,0.0,0.38,0.28,0.66,0.38,4.5,4.5,1.8,0.42,0.17,0.59,0.42,0
2021,Roberto Firmino,br BRA,FW,29,11.0,5.0,4.0,5.0,0.0,3.0,0.0,0.45,0.36,0.82,0.45,5.0,5.0,2.4,0.46,0.22,0.67,0.46,0
2021,Curtis Jones,eng ENG,MF,20,9.5,1.0,1.0,1.0,0.0,0.0,0.0,0.11,0.11,0.21,0.11,0.9,0.9,0.6,0.1,0.07,0.16,0.1,0
2021,Kostas Tsimikas,gr GRE,DF,25,9.7,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.21,0.21,0.0,0.5,0.5,2.6,0.06,0.26,0.32,0.06,0
2021,James Milner,eng ENG,MF,35,9.5,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.11,0.11,0.0,0.3,0.3,2.2,0.03,0.23,0.26,0.03,0
2021,Alex Oxlade-Chamberlain,eng ENG,MF,27,8.7,2.0,1.0,2.0,0.0,0.0,0.0,0.23,0.11,0.34,0.23,1.2,1.2,0.9,0.14,0.11,0.24,0.14,0
2021,Harvey Elliott,eng ENG,MF,18,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.5,0.23,0.12,0.35,0.23,0
2021,Joe Gomez,eng ENG,DF,24,3.7,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.27,0.27,0.0,0.0,0.0,0.5,0.0,0.13,0.13,0.0,0
2021,Caoimhín Kelleher,ie IRL,GK,22,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021,Takumi Minamino,jp JPN,FW,26,2.1,3.0,0.0,3.0,0.0,1.0,0.0,1.45,0.0,1.45,1.45,1.8,1.8,0.5,0.88,0.25,1.13,0.88,-1
2021,Tyler Morton,eng ENG,MF,18,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021,Divock Origi,be BEL,FW,26,1.5,3.0,0.0,3.0,0.0,0.0,0.0,2.03,0.0,2.03,2.03,1.6,1.6,0.0,1.08,0.0,1.08,1.08,-1
2021,Kaide Gordon,eng ENG,FW,16,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,4.48,0.0,4.48,4.48,-1
2021,Neco Williams,wls WAL,DF,20,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.25,11.25,0.0,0.0,0.0,0.6,0.0,6.5,6.5,0.0,-1
